review,rating,sentiment
"Time and price estimates are always much less than they turn out to be. Drivers are rude and very hard to communicate with should you need to call them. Lots of taxis cancel on me. Just not a good nor consistent experience, particularly with their fake branding all about love - I don't see that from the drivers at all. Cabify is far better on that note.",2,0
"I’ve spent more than an hour taking to their specialties, and they couldn’t fix the problem. Saying that my bank declined the trans arils - but it’s not true. I checked with my banks and with Visa and they don’t see any transaction attempts. Really frustrating. Can’t use the app and the team isn’t competent enough to provide help",1,0
"I loved 99, it was reliable and convenient. The new version is much worse in locating a taxi, cancelling ( e.g. when the search takes too long) does not work. The new process for payments - although it seems to better avoid the problem of drivers not ending the ride - is awkward and sometimes takes a long time. I am going back to hailing taxis “by hand”.",1,0
"1. Literally even second after requesting a ride they want to charge you a fee, even if the driver is 15 minutes away while your ride is 10 minutes long.
2. They want your biometric data if you want more than one ride a day.
3. You cannot delete your account if you had a ride in the past 15 year.",1,0
Its been a week that only apple pay and cash is working. I cant order with debit or credit card. I thought it was my phone issue but i checked in a friend’s phone and it was the same issue. Please fix it.,3,1
"Just like uber, in this new update, you have to insert your destination before a trip! It feels like a prison. You can’t get a taxi without knowing for sure where you are going! What if you want to go on a sightseeing trip around the city? What if you want to go to a sushi place and your girlfriend wants to eat italian and you drive by a frech restaurant and want to stop? Terrible update! Will never use the app again!!!",1,0
"The app keeps sending cashback and promotional notifications late at night, constantly waking me up, and there’s no way to disable them without disabling every single notification. Also, there’s no way to contact support and complain about that through the app, only an automated and unhelpful bot.",1,0
"99 ia usually cheaper than other similar apps, but I’ve been having problems lately. Every time I need a car, the driver accepts the race and goes to the opposite way, which makes me cancel the trip (because I usually have an appointment and don’t want to be late) and use another app to get a car. If I keep having this kind of problems, I’ll uninstall the app.",1,0
If you can use Uber eats. This app has been late delivering many meals. The food is cold by the time I get it. When I try to cancel they charge me anyways and the food would have been twenty or more minutes late. Sad because they have more options but Uber eats is much more reliable.,1,0
"Any other app, I would just disable notifications entirely, but I need to know when my vehicle arrives to pick me up. 

99 doesn’t let me disable their insanely annoying notifications that come about 2x an hour throughout the day nagging me to order food from them. 

A real product manager would never allow this to happen, and yet, here we are. 

99 - please let me turn off your marketing notifications. This is an abuse of your notifications privileges.",1,0
"I’ve been enjoying so much to use 99 taxi!
It’s easy, fast and cheaper than Uber. 
Uber never more!",5,1
"I used the app a lot although it is by far the worst among its competitors. It is slower the the others, waiting time is the highest and there arr lots of bugs.
Recently I needed to talk to the support for the first time and the service was terrible. The experience was way better when I needed it with the other apps.
I will not use it anymore.",1,0
"Best cars and excellent drivers so far. Bravo. 

Keep it up",5,1
"Used to use the app every day, more than once. But after this last update the “debit” payment option has been removed. I am left with no other option than to move to its competitor, Easy Taxi (same discounts, but with debit option available). Bad bad move from 99. Lost a client, and suspect sill loose more.",1,0
"- Can't change address during a ride
- App keeps suggesting wrong addresses even though Im at a frequent address
- route estimation and driver wait times are always erratic and inaccurate (sometimes the driver disappears from the map and we are left wondering....is he coming?)
Crashes and hangs a LOT...",1,0
"What have the done! This used to be such a simple, easy-to-use app. They have now tried to replicate the Uber interface, inserted more steps, and made it overly complex. You have to now pinpoint your exact location on the map and the addresses it generates are wrong. Bring back the old interface please!!!!",1,0
Cars cancel with no repercussion. Prices listed when booking are usually 30-40% lower than actual price paid (you pay way more than what’s quoted). Often searches for several minutes then finally responds saying no cars are available. Uber and Cabify are way better.,1,0
"In a failed attempt to automate their support system, they many times send automatic replies that don't solve the complaint. Because the rides are very often mischarged, I would not recommend the app, because it’ll be a hassle trying to get your money back. Uber is better",1,0
Your security is pathetic. You allow users to use whatever email they chose without any authentication. Someone in Brazil is using my email and I can’t stop this. I have tried calling your company with no success. Your company is pathetic,1,0
"When I want to call a ride for someone else the app insisted in using my location. This is wrong. Also add a swap button for the pick and destination.

Stop changing my pickup address.",1,0
"I’ve been trying to set up this app for the past few days. Every time I request the verification number, it never gets sent. I have a USA number that starts with +1. Hope they fix this very soon.",1,0
"I have the newest iPhone, I open the app but it locks on the getting started screen, I cannot tap the Next icon. Nothing happens, this causes the app to be useless.",1,0
"I paid double my ride estimate by the app.
The app was offering me a voucher and then said it was not applicable.
Totally incorrect selling something you are not offering and having the client paying for it! Use Cabify or Uber, never 99.",1,0
"The drivers consistently cancels the rides, leaving the user unnatended. There is no feature whatsoever to reduce this and I endedep up losing hours waiting for drivers who had no regard for the user.",1,0
"This was a great app, but is now useless for Americans traveling in Brazil. The option to pay inside the app does not work with PayPal or American credit cards.",1,0
"This app literally steals money. 

• During a trip the price of a trip can go up. As a passenger you can’t report it or do anything about it. The UX is non-existent. App: “It happens.” 

• Drivers often lack change and give “credit” on cash payments only for the app to not let you use those credits. 

Worst car share app ever.",1,0
"In new version, when your driver accepts your ride, the app makes an annoying and embarrassing ""felling down cash"".
You can not disable!",1,0
Be careful. Support is not good. Have tried to get refunded for a ride I never took—the app showed I was “on my way” but I was never picked up. I contacted the driver and no response. They stole R$50. This should NEVER happen!!!,1,0
They don’t accept foreign credit cards and also want to do all kinds of weird facial recognition,1,0
"Someone created an account with my email, I can’t even cancel it, I have tried through the app and the “help” tab is empty",1,0
Simple the best!,5,1
"Worst app and worst annoying repetitive intrusive ads. 
Propaganda is everywhere and sadly the service is unforgivingly bad.",1,0
Latest version Ruined the app!! Not using it until they fix it!!!,1,0
99 - SPAMers - they use their customer base to spam messages from 99 food and don’t give the option to unsubscribe from these messages! 😡,1,0
The new app couldn’t be worst! 99Taxi become a bad joke after the merge with Chinese holding.,1,0
Waiting times are always mistaken,3,1
"It was by fara the best app, now the UX has gone sour, constant crashes and bad customer service",2,0
would you like to free the paste copy option ?,1,0
"Rides canceled 6 times. I had to walk.
Cancelaram 6 vezes a mesma corrida. Tivemos que andar.",1,0
"🇺🇸They sent me a discount for a ride I canceled because the driver accepted my ride while still driving another passenger for another app, I tried using the discount on another ride but instead of having the discount applied I was charged for the full amount of the ride plus a cancellation fee for that ride I just mentioned.
I sent a message to the company they replied with a coupon for the next ride which I’ve tried to use in the next 6 or 7 rises but never worked! I have all the prints! The estimated amounts before finding a driver, the drivers and the total after every single ride ended which never had any discounts.
For this reason I am giving this app a ONE STAR because I can’t rate it any lower. 
I wanted to post all the prints as proof for my frustration, but whatever!
There’s plenty of good transportation apps out there!
Hasta la vista 99!!
—————————-
🇧🇷Eles me enviaram um desconto para uma viagem cancelada porque o motorista aceitou minha viagem enquanto ainda dirigia outro passageiro por outro aplicativo. Tentei usar o desconto em outra viagem, mas, em vez de aplicarem o desconto, fui cobrado pelo valor total da viagem  mais uma taxa de cancelamento por aquela corrida que acabei de mencionar.
 Enviei uma mensagem à empresa e eles responderam com um cupom para a próxima corrida que tentei usar nas próximas 6 ou 7 corridas, mas nunca funcionou!  Eu tenho todos os prints!  Os valores estimados antes de encontrar um motorista, os motoristas que aceitaram e o total após cada corrida terminada, que nunca tiveram descontos.
 Por esse motivo, estou atribuindo a este aplicativo UMA ESTRELA, porque não posso classificá-lo mais baixo.
 Queria postar todos os prints como prova da minha frustração, mas pra mim agora tanto faz!
 Existem muitos aplicativos de transporte bons por aí!
 Hasta la vista 99 !!",5,1
"New version doesn’t allow payment in car with debit card.
Nova versão não permite pagamento com catraca de débito",1,0
Top,5,1
Otimo motorista!,4,1
Show jow,5,1
"For an Expat living in São Paulo, there are few apps that I would say that I use daily.  99 taxi is an app that I can say that I utilize every day.  It makes life much easier.  There is a reliability and convenience that comes from this app and the cabs that subscribe to the service.  In the last 2 years, having used it everyday, I have had one single problem with one driver claiming to have picked me up and cancelling the ride and it only cost me a little bit of frustration that day (it was raining that day, so very congested traffic).  Commuting in São Paulo can be very frustrating, but this app give the non-native a fantastic chance to safely get around this magnificent city for work or exploration.  Without this app, it would actually force me to walk to one of the nearest taxi stands to see if there is a cab available, and it turns in to a bit of an Easter egg hunt for a taxi.  That lack of reliability causes stress, as I'm always worried about being on time or early.  A thank you goes to the developers and the business machine that allow me an easy way to get to work everyday!",5,1
"This app is perfect for calling and paying for, reliable taxi cab service. I receive much of the similar information that competing ride-share service apps provide (name/photo of driver, car description/lic. No, live tracking of vehicle, etc.) and I can also choose any mode of payment, allowing me to travel without having cash. I even receive an invoice immediately leaving any taxi, with the total cost, ride information, and even a map of my fare from start to finish. The service allows me to rate drivers, contact drivers (for lots items, for instance), and is very responsive if an issue is reported. The staff administering the app are extremely professional, and any issue or concern has an immediately response.  I use this app quite frequently, and I would strongly recommend this app to anyone where 99Taxi provides service.",5,1
"I love 99taxis app,  but is it possible to put more conversation options? I understand you might not want to put a write-your-own-message tool for several reasons, but at least create more options perhaps? Just things that happen sometimes and I can't alert the driver without calling or making him call which I can't do because I never have cellphone credits and don't want to spend his. Please consider it nonetheless. It would be great for me and many people I know. All my friends promptly agreed with me when I said this, and I think many other people would as well. 
Thank you for the app anyways, it always gets me out of a pickle when I need it!",5,1
"Visited São Paulo and Rio de Janeiro, and downloaded 99Taxi for our trip. The app was very easy to use and had more options than uber or lyft, like being able to choose payment options and all the built in discounts like first ride free! Also, I forgot my phone in the taxi, and the driver brought it back because 99Taxi customer service was able to contact him right away. Such a lifesaver!!",5,1
"Very useful, works well, but here are a few suggestions.  *GPS locating is way off when not signed in to a wifi location.  Frequently need to set location manually.  Sometimes it is off by a couple of blocks.
*need to be able to store favorite locations.  If there is one, I haven't figured it out.

Keep up the good work, but try to get these improvements done!",4,1
"My first ride should be free, but the driver asked me for a password, them charged me using my credit card because he told this app wasn't working. After that the app tried to double charge me, I cancelled but my free ride was gone anyway. Smartass driver poor software support.

Many times it shows no drivers available. And others the driver go away after accepting the ride.

It doesn't work very well in Florianopolis. I miss Uber or Lyft here, they're so much better.",2,0
"I've been using this app for a couple of months and find it very good. Actually I increased the number of taxi rides due to its convenience and simplicity to use, and also because I am always sure I'll have a taxi at the door with it.",5,1
"I love this app! No more waiting on the streets trying to wave down a taxi or calling for one on a phone and waiting for 15 to 30 mins for it to arrive.  My taxi arrives within 2-10 mins depending on the time of day and the location that I'm at.  Best of all, I don't need to carry cash ... It deducts the fare direct from my credit card.  The taxis are always clean and comfortable!",4,1
"So this was my favorite app !! It was amazing. 
However with the new update, my street name has changed, (half of it it has been replaced with another name, and the part that is correct is spelled wrong). When I try to add the address manually it tells me that it's invalid... I'm so unhappy. Also the position of the address on the map is incorrect.
I like the new design, but I can't use this app with the wrong street name.
Previous edition was so much better :(",2,0
Very helpful app! Really recommend. Very easy and quick to handle. Don't take so long waiting for a taxi anymore. Also this app helps a lot the taxi driver that don't need to take so long driving a empty car. Good and helpful for both sides! Thumbs up!,5,1
I love this app. But it's really bad for the driver to get in your destination. Not sure if the map has issues on the driver's side but VERY often it happens that the driver is super close to you and all of sudden they go very far and takes a long time to get where you are. I really dislike that and doesn't happen much with other apps.,3,1
"Very good app, I've tried EasyTaxi and Taxija and 99 is the better. No problems paying with paypal or calling the cabs. I only wonder if they could include the possibility to choose premium cars that offers more comfort, even if we could pay more.",5,1
Still some bug issues and user interface to be fixed.  Needs to be more accurate when finding my location,5,1
"Using 99 is very easy. In less than a minute you can ger a cab and you can choose how you will pay; money, credit and debit cards. And the security of knowing the name and picture of the driver, telephone numer and license plate of the vehicle",5,1
"I'm wowed by this app. It's great, reliable, fast, and it saves me the headache of finding/calling a taxi driver.(especially because I don't live in Brazil) 
I'm not sure if they have this app somewhere else but from now on I will be using it sporadically.",5,1
"Got stranded without cash and requested a taxi that allows credit card payment. To my surprise, I got just what I needed in under 3 minutes and my day was saved.",5,1
The app works. You order a cab or a private car and with some luck you don't end up on a biggot's car. The problem for me is the insane amount of notifications about promotions that the app bombards my phone with. Made me consider deleting the app several times.,3,1
"Great application to find cabs in São Paulo.
However new maps have issues with address. Number is often positioned at the wrong location on a street. It used to be better in the previous version.",4,1
"Worked perfectly so far. Think it will be even better when they incorporate payments. Haven't tried in rush hour or when demand is crazy yet. But so far, amazing.",5,1
"Works like a charm, taxi arrives within max of few minutes. Would love to have the option to choose car size on case of traveling with lots of luggages.",5,1
"An army of drivers, doesn't matter you are in downtown or far, far away, you always have a cab couple minutes from you, I'm living in São Paulo BTW.",5,1
It's hard to believe but I got all taxis in less than a minute. You make a request and a wild taxi appears in the same instant. Awesome. I am really impressed with this app and service.,5,1
"Does exactly what it says it does, and does it perfectly.
It gets you a cab in most places, usually under 5 minutes. Needs to be spread.",5,1
"Excelent app, very intuitive reliable and smart. You can find a taxi easier than with the old ways.",5,1
"The service needs adjustment, and so does the app. There's a gap for drivers to bail clients over the phone... Also there's no way to adjust the address... So if you're inside a mall and it has multiple entrances, you'll have to call or text the driver to let them know.",3,1
Works exactly as advertised and makes getting a taxi easy,5,1
"Love this app!  Gets us a taxi everywhere, with a short wait.  Awesome that you can see where your taxi is and when it will arrive.  Also love the electronic receipts via email.",5,1
"It is a great app works like a charm, just the gps location at times is off, not the apps fault. If you remember that you will never have an issue",5,1
As an app 99 works way better and is more reliable than the other ones.,5,1
"Efficient, fast and reliable. Always arrives within time period and plenty of drivers. Must have.",5,1
"Works as expected, saved me once I got in the wrong bus, got off in a weird place and this app managed to find my correct location and get me a cab with 2 minutes",4,1
"Very reliable, full of payment options and good deals. If you ever visit Brazil, this app is a must have. It's the best way to get around Rio and São Paulo. I confess that I haven't tried it in states yet.",5,1
Downloaded and used it yesterday. I am so impressed that I had to write this review. This is a fantastic app that I believe will use so much each time I am in SP.,5,1
"Of course it would be great if services like Uber and Lift were available here, but for now 99Taxis is well served of drivers and campaigns like Johnnie Walker's 
#hojenãodirijo are such a genius marketing move. Keep rocking, guys!",4,1
99 Taxi is excellent! I started using it when I got to São Paulo Brazil and it makes getting around the city much easier. I use all the time.,5,1
"Great app, tons of paying options and promotions. Definitely a must have.",5,1
"I'm using 99taxi for two months, this is the best app for taxi. We can pay without open the wallet, just putting the first cpf digits, it's very useful.",5,1
"Provides a very easy way to call, order and communicate with taxi's in Brazil.",5,1
"Fast, reliable and useful. That is how I usually define it. 5 stars to the app and the support team, which is also super efficient and kind.",5,1
"Works great, used it many times, never waited more than 5 mins for a cab, highly recommended!!",5,1
"Nice. Everything worked fine, as it should be. Ride was nice too, good driver, arrived on time. All good.",5,1
"I couldn't get a cab for 45 minutes so I downloaded the app, 5 minutes later - I'm on it!",5,1
"Great app, love that I receive a receipt after each ride !
Secure, quick, always works, and love that I can pay in app :)",5,1
Very quick to find a driver and reliable!,5,1
Excellent. The only thing is the usage of discount coupons. It is not very friendly.,5,1
Very good taxi app. Taxis tend to be a little more cleaner and recent than the average fleet.,5,1
"Amazing ! Works extremely well ! The service is user friendly, simple and very accurate !!!! The PayPal discount is a must !",5,1
"99Taxis is - by far - the most reliable taxi app in Brazil. It's fast, simple and intuitive.",5,1
Totally reliable for those who need a quick cab. Recommended!,5,1
Works super well in several different places. Can't live without it!,5,1
"Works fine, no bugs, easy to pay with paypal, lots of taxi drivers",5,1
The best app ever! Super functional and easy to deal with!,5,1
I've tried a few apps before finding this one. It's the best one for me so far.,5,1
I am a frequent user of the black vehicle - always good service provided.,5,1
I am using this app for two weeks and the results so far is great.,5,1
I really use it daily. Extremely easy to use.,5,1
And super easy to use,5,1
This app has created much efficiency in my public transportation travels ! It works perfect in my busy city !,5,1
"Very intuitive, fast, functional. The new Paypal feature is great too!
Totally approved.",5,1
I use it every day,5,1
"If you don't have a car in São Paulo, download this app now.",5,1
"Easy, quick, reliable!",5,1
"From all taxi apps in São Paulo, This is the best. Your taxi arrives in less than 5 minutes. Awesome!",5,1
"Just works, plain and simple.",5,1
It was my first time using the 99 app and I love. It very easy to use,5,1
"This app is great! Simple. It does what it says it does, and very well.",5,1
"A great app to call taxi, very easy and simple to use.",5,1
Better than easy taxi,5,1
Great app. Dependable and easy to use in many countries. Live time app with detailed receipts.,5,1
Works very well in all major cities in Brazil,5,1
Fully recommend!,5,1
Got no issues. Recommend.,5,1
"Although the app advertises the first ride for free I did not get this benefit. I send messages in both Portuguese and English and has not received a reply. Such a lie. 

Apesar do aplicativo mencionar a primeira corrida gratuita eu não recebi como o prometido. Contatei o serviço através do aplicativo em português e inglês e até agora não recebi resposta. Que vergonha.",1,0
"Set it up in less than 15sec, taxi got here in less than 20sec! 

Superb!!!",5,1
I want my free ride so I can get home,5,1
Excellent app. Very helpful if you want to ditch the car.,5,1
Very easy to use and very efficient!,5,1
"Easy to use, very intuitive UI; the taxi always knows who to look for.

Fácil de usar, bastante intuitivo; o taxista sempre saberá por que procurar.",5,1
This app is pretty good!! Here in Brazil you should use it.,5,1
Good alternative to Uber ;),5,1
I love this app ❤️,5,1
"During the rush hour, the app couldn't fins any taxis.  Forget one with Credit, any taxi.  You have a better chance to stop one on the road!",1,0
It does the job perfectly.,5,1
"Still a great app, but it was removed the promo payment option (Claro Clube, others), and replaced by ""Coupons"", which does not work.",1,0
"This is the best Taxi App here in Brazil, if you are a foreigner use it instead of Uber!",5,1
The app should let us save addresses like home address and edit it. Everytime drivers misunderstand the address,2,0
This app is easy to use.,5,1
Is great to get taxis. There is always a cab near you,5,1
And safe,5,1
Well done guys! Now getting a taxi in SP is really easy.,5,1
"It is a so useful app, it works very well in Brazil.",5,1
Excellent app! I am using it on a daily basis.,5,1
This app work in a great way. I just love it!,5,1
Bizarre since there is a drop down list to choose countries from,1,0
More than perfect,5,1
"Go to uber, it's much more reliable.",1,0
"Simple, lightweight and nice interface.",5,1
Works Perfectly !,5,1
Always saving me,5,1
Fast and reliable,5,1
"É baixar e usar sem complicações. Chega rápido, aceita cartão, motoristas corteses. Easy and reliable. Accepts CCards. I recommend!",5,1
Great way to get around São Paulo. Only wish there was a fare estimator.,4,1
Works fine!,5,1
"Great app, I never got without a taxi!",5,1
To use in Brazil all cabs and private rides!,5,1
"it works really yell. it has already helped me a lot in my routine. 
apple store should have more apps as awesome as 99!",5,1
Great coverage and service.,5,1
Best way to get cabs in Sao Paulo!! Safe and efficient!,5,1
Useful practical safe,5,1
100 times better than call a cab!!!,4,1
Paypal payment is just a breeze! Best taxi app in Brazil.,5,1
"It's a very useful app. It works just fine. 
É um app muito fácil de se usar... Funciona bem.",5,1
This app is perfect de solution of my life!!!,5,1
Show,4,1
Excellent e!!!!!! 10,5,1
It is very useful !,4,1
Would pay for this. Indispensable in São Paulo,5,1
Great app... For me it's perfect just like uber ... Love it...,5,1
Really works!!! Great base of taxis using it.,5,1
"Very useful, easy and secure!",5,1
Very efficient!,5,1
Better then Uber!,5,1
Works like a charm.,5,1
Baixei pois o aplicativo teve a iniciativa de patrocinar o Corinthians usei e funciona muito bem! Recomendo. Vai Corinthians!,5,1
"Minha unica critica seria permitir que o requisitante e o motorista possan trocar mensagens pelo aplicativo, afim de evitar o acesso dos celulares de ambas as partes.",5,1
This app has touched my trah lah lahh,5,1
Works perfectly in Rio de Janeiro with good taxi professionals,5,1
"Simple, speedy and very good.",5,1
30% off? THANK YOU!,5,1
Maravilhoso serviço/ wonderful service!,5,1
"Quem tiver dúvidas de qual app instalar para chamar taxi, pode confiar neste que é muito seguro e rápido.",5,1
A must have app,4,1
Strongly recommended,5,1
"Abandonei as cooperativas de taxi, uso o aplicativo sempre e nunca fiquei na mão.",5,1
Very good app.,5,1
Good app.,5,1
Strongly recommended,5,1
Just perfect!,5,1
Really nice app,5,1
The best of its kind.,5,1
Nota 10! Simples e eficiente! Taxi em qualquer lugar.,5,1
thank you!,4,1
I tried to get a taxi but it doesn't work.,1,0
App show !,5,1
Maravilhoso pratico,5,1
Amazing app!,5,1
"Conheci o app por patrocinar o Corinthians, baixei e agora uso frequentemente",5,1
Esse aplicativo é super legal ! Sempre que preciso de taxi utilizo ele . Rapido e seguro. !! Virei fã .... Parabéns aos que elaboraram,5,1
Excelente sistema. Só falta dar para pagar o taxi por aqui pela conta do AppStore.,5,1
Amazing app,5,1
"Excelente app, funciona bem e os taxistas são bons.",5,1
"Eu pego muito taxi, sempre usei radio, Delta, Vermelho e Branco, Atag...
Esse app supera TODOS!!!",5,1
"App muito bom, simples e fácil de usar. O taxi chega em menos de 10 min!",5,1
Great,5,1
Funciona tão bem que parece mágica.,5,1
Simples e facil de isar e funciona perfeitamente! Fantastico!,5,1
Very good indeed !,5,1
Melhor aplicativo de taxi que eu já usei. Atendimento sensacional !!,5,1
Best taxi app ever!,5,1
O aplicativo funciona muito bem é o taxi chega mto rápido!!,5,1
O melhor elogio é que o APP funciona. Vc pede o taxi e ele chega.,5,1
O melhor para taxi e mais seguro,5,1
Ótimo aplicativo! Super funcional e ágil!,5,1
Utilizei hj pela primeira vez. Perfeito. No hr de pico,5,1
Fantástico!,5,1
Fantástico,5,1
"Usei e funcionou, mesmo na chuva",5,1
"Otimo aplicativo, realmente funciona.. Simples e facil adorei",5,1
"Motorista prestativo e o serviço muito eficiente, realmente funciona.",5,1
Best app ever,5,1
Genial. Incrível. Td mundo deveria ter esse app!,5,1
So falta ter enderecos favoritos...,5,1
Facilita muito um app desse a mão,5,1
The best app,5,1
"Funciona bem, estável, confiável. Use tranqüilamente.",5,1
Sistema de fácil gerenciamento e funcionamento perfeito.,5,1
"Já usei vaaarias vezes, nunca falhou e sempre chega super rapido!",5,1
Best one for cabs!,4,1
Perfeito para taxi em SP,5,1
"Otimo app, muito util para quem usa taxi, nao da para ter.",5,1
Otima ideia e servico. Recomendo,5,1
Excelente aplicativo. Simples e eficiente.,5,1
Excelente App,5,1
😍😍😍😍,5,1
"Recomendo a todos! Rápido, conveniente e cool.",5,1
App realmente útil e fácil de usar,5,1
Melhor app de taxis!,5,1
Nice,5,1
"Rapido, pratico e seguro!!",5,1
Vary good app,5,1
"Vale a pena, funciona perfeitamente .",5,1
Funciona muito bem. Rápido e eficiente,5,1
"Rapido, seguro e pratico!",5,1
"Vale a pena baixar, funciona mesmo!",5,1
Don't work!,2,0
"muito bom, simples, rapido e funciona!!",5,1
Experimentei e funcionou!,5,1
"Útil, rápido, intuitivo e eficiente!",5,1
Excelente,5,1
"Ajuda muito mo dia a dia. Show!
Muito facil",5,1
E vai rápido!,5,1
Ótimo app!,5,1
Muito rápido e pratico.,5,1
Very Good,5,1
Aplicativo muito bom!,5,1
Top!!,5,1
Rapido e eficiente,5,1
Seria perfeito,5,1
Good app,5,1
App de mais!!,5,1
Melhor app de taxi para SP,5,1
Funcionou super bem!,5,1
Ótimo,5,1
"Aplicativo muito bom!
Muito fácil de utilizar!",5,1
This app is good,4,1
"Simples, rápido e fácil. Parabéns!!!",5,1
Ótimo!,5,1
Ótimo!,5,1
Muito rapido!,5,1
"Esse aplicativo é otimo,tambem contem otimos motoristas",5,1
Top,5,1
The Nice man !!,5,1
O melhor aplicativo para taxi!!,4,1
"Ótimo aplicativo, ótimo pessoal.",5,1
Funciona excelente,5,1
Muito bom,5,1
💕💕💕💕,5,1
Só uso a 99taxi,5,1
"mto bom app, recomendo.",5,1
10!,5,1
muito eficiente o aplicativo.,4,1
Muito satisfeito!,5,1
Melhor aplicativo,5,1
Adorei! Muito pratico!,5,1
recomendo,5,1
Muito bom ! Recomendo!!,5,1
Mt bom,5,1
MUITO BOM MESMO... MUST HAVE WHEN TRAVELING IN SP,5,1
Muito bom,5,1
Muito eficiente.,5,1
Muito pratico!!,5,1
Add favorites,2,0
Bão hein!,5,1
Awesome,5,1
"Nao me senti seguro, alem disso Nao funciona direito!!",1,0
👏👏👏👏👏👏👏,5,1
Pratico!,5,1
Dazora,5,1
Ediciente e rápido!,1,0
👌,5,1
Fraco,1,0
👍,5,1
💯,5,1
"Qdo comecei a usar os apps de corrida o padrão era todas as corridas com ar condicionado. Agora o padrão é vidro aberto e se pedirmos o ar condicionado o motorista ou te fuzila com o olhar ou inventa uma desculpa. Fora isso, a qualidade dos motoristas no geral caiu e acabei preferindo voltar a usar meu carro próprio. Uma pena!",4,1
